ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
SNBR,Sleep Number Corporation,SNBR.1Q16,1400,1420,1Q16,2016/1F,20.4,04/29/2016,20.8,0.20,0.27,0.07,3.3,5,4/28/2016,5/4/2016,20.8,-1.2,22.0,9,4/22/2016,0.22,0.16,0.06,1.167
AAWW,"Atlas Air Worldwide Holdings, Inc.",AAWW.1Q16,4600,4605,1Q16,2016/1F,11.4,05/05/2016,20.7,0.26,0.31,0.05,0.5,4,5/4/2016,5/10/2016,20.7,1.6,19.2,9,4/28/2016,0.30,0.23,0.07,0.762
DNR,Denbury Resources Inc.,DNR.1Q16,2100,2105,1Q16,2016/1F,25.0,05/05/2016,20.2,-0.07,-0.03,0.04,-0.8,4,5/4/2016,5/10/2016,20.2,1.6,18.7,17,4/28/2016,-0.01,-0.14,0.13,0.317
CVGW,"Calavo Growers, Inc.",CVGW.1Q16,2400,2410,1Q16,2016/2F,11.3,06/06/2016,19.9,0.49,0.56,0.07,-9.1,1,6/3/2016,6/9/2016,19.9,0.9,19.1,5,5/30/2016,0.52,0.46,0.06,1.133
AMAT,"Applied Materials, Inc.",AMAT.1Q16,1300,1355,1Q16,2016/2F,266.2,05/20/2016,18.8,0.32,0.34,0.02,0.9,5,5/19/2016,5/25/2016,18.8,2.6,16.2,21,5/13/2016,0.33,0.31,0.02,1.084
EA,Electronic Arts Inc.,EA.1Q16,1400,1435,1Q16,2015/4F,299.2,05/11/2016,18.7,0.42,0.50,0.08,3.9,3,5/10/2016,5/16/2016,18.7,-0.9,19.6,20,5/4/2016,0.50,0.36,0.14,0.553
MTCH,"Match Group, Inc.",MTCH.1Q16,3300,3320,1Q16,2016/1F,13.0,05/04/2016,18.2,0.07,0.11,0.04,1.5,3,5/3/2016,5/9/2016,18.2,-0.2,18.4,15,4/27/2016,0.11,0.02,0.09,0.451
YELP,Yelp Inc,YELP.1Q16,3300,3320,1Q16,2016/1F,57.4,05/06/2016,18.2,-0.16,-0.20,-0.04,2.0,5,5/5/2016,5/11/2016,18.2,0.7,17.5,31,4/29/2016,-0.10,-0.30,0.20,-0.189
KEYS,Keysight Technologies Inc,KEYS.1Q16,1300,1315,1Q16,2016/2F,20.9,05/20/2016,17.3,0.56,0.61,0.05,2.6,5,5/19/2016,5/25/2016,17.3,2.6,14.7,5,5/13/2016,0.61,0.53,0.08,0.575
BIG,"Big Lots, Inc.",BIG.1Q16,3500,3520,1Q16,2016/1F,34.2,05/27/2016,17.2,0.70,0.82,0.12,1.3,5,5/26/2016,6/1/2016,17.4,0.5,16.8,15,5/20/2016,0.73,0.67,0.06,1.975
AOBC,American Outdoor Brands Corporation,AOBC.1Q16,1300,1330,1Q16,2015/4F,63.7,06/17/2016,17.1,0.54,0.66,0.12,3.1,5,6/16/2016,6/22/2016,17.1,0.4,16.8,6,6/10/2016,0.58,0.51,0.07,1.673
HAIN,"Hain Celestial Group, Inc.",HAIN.1Q16,2400,2410,1Q16,2016/3F,58.7,05/04/2016,17.1,0.49,0.49,0.00,2.1,3,5/3/2016,5/9/2016,17.1,-0.2,17.4,22,4/27/2016,0.53,0.47,0.06,-0.015
DY,"Dycom Industries, Inc.",DY.1Q16,3100,3115,1Q16,2016/3F,53.9,05/25/2016,17.1,0.74,1.08,0.34,11.2,3,5/24/2016,5/30/2016,15.0,1.1,13.9,7,5/18/2016,0.77,0.71,0.06,5.593
VEEV,Veeva Systems Inc Class A,VEEV.1Q16,3300,3310,1Q16,2016/1F,30.2,05/27/2016,16.3,0.11,0.15,0.04,3.7,5,5/26/2016,6/1/2016,13.0,0.5,12.4,12,5/20/2016,0.11,0.11,0.00,8.156
CLR,"Continental Resources, Inc.",CLR.1Q16,2100,2105,1Q16,2016/1F,217.3,05/05/2016,16.2,-0.36,-0.41,-0.05,2.5,4,5/4/2016,5/10/2016,16.2,1.6,14.6,33,4/28/2016,-0.22,-0.55,0.33,-0.145
AEO,"American Eagle Outfitters, Inc.",AEO.1Q16,3500,3525,1Q16,2016/1F,92.2,05/19/2016,16.2,0.18,0.22,0.04,2.5,4,5/18/2016,5/24/2016,16.2,1.5,14.7,25,5/12/2016,0.19,0.16,0.03,1.270
NDSN,Nordson Corporation,NDSN.1Q16,1200,1210,1Q16,2016/2F,24.8,05/24/2016,16.1,0.92,1.19,0.27,5.2,2,5/23/2016,5/27/2016,16.1,2.6,13.6,13,5/17/2016,0.95,0.87,0.08,3.375
CPRI,Capri Holdings Limited,CPRI.1Q16,3500,3525,1Q16,2015/4F,183.5,06/01/2016,16.1,0.97,0.98,0.01,4.4,3,5/31/2016,6/6/2016,16.1,0.7,15.4,28,5/25/2016,1.01,0.93,0.08,0.183
DLTR,"Dollar Tree, Inc.",DLTR.1Q16,3500,3520,1Q16,2016/1F,227.1,05/26/2016,15.9,0.81,0.89,0.08,-0.1,4,5/25/2016,5/31/2016,15.5,0.4,15.2,23,5/19/2016,0.88,0.77,0.11,0.755
URBN,"Urban Outfitters, Inc.",URBN.1Q16,3500,3525,1Q16,2016/1F,61.5,05/19/2016,15.8,0.25,0.25,0.00,0.5,4,5/18/2016,5/24/2016,15.8,1.5,14.3,34,5/12/2016,0.29,0.22,0.07,0.010
ADPTQ,"Adeptus Health, Inc. Class A",ADPTQ.1Q16,3350,3360,1Q16,2016/1F,25.8,04/20/2016,15.6,0.40,0.47,0.07,3.2,3,4/19/2016,4/25/2016,15.6,-0.6,16.2,8,4/13/2016,0.46,0.32,0.14,0.473
PPC,Pilgrim's Pride Corporation,PPC.1Q16,2400,2415,1Q16,2016/1F,43.8,04/28/2016,15.5,0.40,0.46,0.06,-0.7,4,4/27/2016,5/3/2016,15.5,-1.6,17.2,5,4/21/2016,0.57,0.33,0.24,0.258
DYN,Dynegy Inc.,DYN.1Q16,4700,4705,1Q16,2016/1F,45.4,05/04/2016,15.5,-0.22,-0.13,0.09,8.1,3,5/3/2016,5/9/2016,15.5,-0.2,15.7,4,4/27/2016,0.21,-1.02,1.23,0.076
LGF.A,Lions Gate Entertainment Corp Class A,LGF.A.1Q16,3400,3430,1Q16,2015/4F,32.1,05/26/2016,15.4,-0.05,0.14,0.19,7.1,4,5/25/2016,5/31/2016,12.9,0.4,12.5,16,5/19/2016,0.30,-0.30,0.60,0.312
CGNX,Cognex Corporation,CGNX.1Q16,1300,1355,1Q16,2016/1F,18.8,05/03/2016,15.3,0.06,0.09,0.03,3.3,2,5/2/2016,5/6/2016,15.3,-1.2,16.5,8,4/26/2016,0.07,0.05,0.02,2.000
CNX,CNX Resources Corporation,CNX.1Q16,2100,2110,1Q16,2016/1F,76.8,04/26/2016,14.9,-0.08,-0.06,0.02,-17.4,2,4/25/2016,4/29/2016,14.9,-1.0,15.9,18,4/19/2016,-0.01,-0.14,0.13,0.142
VMI,"Valmont Industries, Inc.",VMI.1Q16,1200,1205,1Q16,2016/1F,22.5,04/21/2016,14.8,1.33,1.49,0.16,-2.1,4,4/20/2016,4/26/2016,14.8,-0.4,15.2,10,4/14/2016,1.31,1.20,0.11,1.458
