ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,rtn_t+3,eps_est,eps_actual,surp_amt,rev_surp%,report_day_of week,t-1,t+3,rtn_t+3_check,mkt_t+3_rtn,rel_t+3_rtn,num_ests_qtr_end,t-7,t-7_high_est,t-7_low_est,est_spread,spread_adj_surp
SPG,"Simon Property Group, Inc.",SPG.1Q15,4800,4890,1Q15,2015/1F,307.2,04/24/2015,-3.2,1.09,1.16,0.07,0.9,5,4/23/2015,4/29/2015,-3.2,-0.4,-2.7,5,4/17/2015,1.15,0.80,0.35,0.199
SINA,SINA Corp.,SINA.1Q15,3300,3320,1Q15,2015/1F,30.4,05/15/2015,-1.4,0.01,0.04,0.03,1.5,5,5/14/2015,5/20/2015,-1.4,0.3,-1.7,11,5/8/2015,0.19,-0.16,0.35,0.096
SBGI,"Sinclair Broadcast Group, Inc. Class A",SBGI.1Q15,3400,3410,1Q15,2015/1F,30.8,05/06/2015,-4.0,0.12,0.25,0.13,0.2,3,5/5/2015,5/11/2015,-4.0,0.8,-4.8,6,4/29/2015,0.16,0.09,0.07,1.857
SIRI,"Sirius XM Holdings, Inc.",SIRI.1Q15,3400,3410,1Q15,2015/1F,122.6,04/28/2015,-0.5,0.03,0.02,-0.01,-0.5,2,4/27/2015,5/1/2015,-0.5,-0.1,-0.4,15,4/21/2015,0.03,0.02,0.01,-0.760
SIRO,"Sirona Dental Systems, Inc.",SIRO.1Q15,2300,2325,1Q15,2015/2F,27.4,05/08/2015,-1.3,0.76,0.76,0.00,-2.1,5,5/7/2015,5/13/2015,-1.3,0.5,-1.8,11,5/1/2015,0.82,0.74,0.08,0.043
SITC,SITE Centers Corp.,SITC.1Q15,4800,4890,1Q15,2015/1F,57.5,04/29/2015,-2.9,-0.01,-1.38,-1.37,-1.3,3,4/28/2015,5/4/2015,-2.9,-0.1,-2.8,6,4/22/2015,0.00,-0.02,0.02,-63.465
SIX,Six Flags Entertainment Corporation,SIX.1Q15,3400,3430,1Q15,2015/1F,29.3,04/22/2015,0.2,-0.68,-0.75,-0.07,2.4,3,4/21/2015,4/27/2015,0.2,0.5,-0.2,7,4/15/2015,-0.58,-0.82,0.24,-0.298
SKX,"Skechers U.S.A., Inc. Class A",SKX.1Q15,2400,2440,1Q15,2015/1F,58.2,04/23/2015,19.8,0.34,0.37,0.03,9.2,4,4/22/2015,4/28/2015,19.8,0.3,19.6,9,4/16/2015,0.35,0.32,0.02,1.337
SWKS,"Skyworks Solutions, Inc.",SWKS.1Q15,1300,1305,1Q15,2015/2F,383.6,05/01/2015,2.5,1.13,1.15,0.02,1.4,5,4/30/2015,5/6/2015,2.5,-0.2,2.7,18,4/24/2015,1.15,1.12,0.03,0.759
SLG,SL Green Realty Corp.,SLG.1Q15,4800,4890,1Q15,2015/1F,118.8,04/23/2015,-0.6,0.46,0.31,-0.14,14.0,4,4/22/2015,4/28/2015,-0.6,0.3,-0.9,5,4/16/2015,0.49,0.43,0.06,-2.546
